Name,Surname,Client Code,Reference Month,Total Liquidity,Total Loans/Engagements,Total Investments,Interest Margin,Food Expenses,Transport Expenses,Entertainment Expenses,Healthcare Expenses,Consultant Name,Consultant Code
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-04-01,1701.1766,10.0,9843.418,2.0,582.4075,139.39523,155.85175,129.65556,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-05-01,1695.5394,10.0,9856.624,2.0,591.34406,138.2026,153.22865,129.11598,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-06-01,1690.2144,10.0,9869.535,2.0,600.45825,137.0391,150.50504,128.52257,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-07-01,1685.2205,10.0,9882.152,2.0,609.74023,135.91469,147.67128,127.88725,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-08-01,1680.5765,10.0,9894.386,2.0,619.19086,134.84045,144.71727,127.21553,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-09-01,1676.3104,10.0,9906.196,2.0,628.8083,133.8261,141.63255,126.508514,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-10-01,1672.4496,10.0,9917.539,2.0,638.59204,132.88211,138.40604,125.76821,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-11-01,1669.0258,10.0,9928.366,2.0,648.53876,132.02405,135.02646,124.99497,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-12-01,1665.8995,10.0,9938.778,2.0,658.7227,131.3156,131.48157,124.2074,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-01-01,60911.31,184.79501,20087.0,36.97112,604.61676,325.6376,113.95889,164.79167,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-02-01,62107.734,240.5624,20087.0,36.925266,599.6423,321.1045,116.307625,168.63744,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-03-01,62776.746,346.92874,20087.0,37.179104,599.4754,318.14807,118.57283,170.8093,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-04-01,63356.324,442.65988,20087.0,37.487076,600.3167,314.6333,120.73161,172.87189,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-05-01,63926.48,515.3123,20087.0,37.809494,601.559,310.96402,122.98268,175.0933,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-06-01,64519.32,580.6024,20087.0,38.144638,603.18665,307.12112,125.27876,177.47751,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-07-01,65139.504,631.9634,20087.0,38.49122,605.1692,303.0938,127.598076,180.02809,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-08-01,65790.07,668.72955,20087.0,38.848816,607.5569,298.88095,129.94069,182.7597,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-09-01,66473.45,691.7731,20087.0,39.217735,610.4361,294.4657,132.29655,185.70276,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-10-01,67194.15,700.6606,20087.0,39.59817,613.8747,289.84137,134.65512,188.87558,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-11-01,67959.516,694.4571,20087.0,39.99056,617.97986,285.04498,137.07076,192.34198,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Mark,Meyer,d6213924-30d4-4ae8-b09f-1eefa59c3e14,2024-12-01,68760.234,676.8596,20087.0,40.403236,622.9794,279.97104,139.5611,196.24954,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-01-01,21110.68,9.999999,34058.582,21.392693,393.30106,360.999,50.0,119.233986,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-02-01,21361.879,9.999999,34043.793,21.714897,391.8741,363.98145,50.0,117.00077,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-03-01,21345.748,9.999999,34066.746,21.566584,395.54584,367.82422,50.0,113.19032,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-04-01,21274.582,9.999999,34079.438,21.556078,399.39615,370.98828,50.0,109.48443,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-05-01,21210.027,9.999999,34090.656,21.520119,403.1481,374.17502,50.0,105.8089,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-06-01,21144.873,9.999999,34100.766,21.479069,406.79443,377.40906,50.0,102.14318,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-07-01,21074.12,9.999999,34109.633,21.441513,410.44504,380.54398,50.0,101.0,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-08-01,20999.256,9.999999,34116.17,21.406178,414.01807,383.5423,50.0,101.0,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-09-01,20926.182,9.999999,34121.53,21.370737,417.54105,386.50058,50.0,101.0,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-10-01,20857.25,9.999999,34126.344,21.337904,421.02866,389.4635,50.0,101.0,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-11-01,20793.217,9.999999,34130.773,21.308113,424.4795,392.43124,50.0,101.0,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Rhodes,a7fb7e54-5b30-4cd8-a4e8-46210e61368a,2024-12-01,20734.266,9.999999,34134.82,21.28105,427.89612,395.40552,50.0,101.0,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-01-01,71683.766,10.0,22057.027,18.000002,272.36853,104.0,201.1615,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-02-01,48277.73,10.0,21864.926,18.000002,264.164,104.0,199.47475,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-03-01,36816.047,10.0,21804.877,18.000002,260.3988,104.0,198.31409,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-04-01,32228.838,10.0,21749.44,18.000002,261.87268,104.0,196.51135,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-05-01,29240.95,10.0,21713.654,18.000002,263.22922,104.0,195.25362,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-06-01,27489.209,10.0,21674.398,18.000002,264.27032,104.0,194.34837,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-07-01,26494.604,10.0,21634.184,18.000002,265.3202,104.0,193.62384,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-08-01,25932.541,10.0,21593.207,18.000002,266.38055,104.0,192.99348,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-09-01,25624.63,10.0,21551.629,18.000002,267.46945,104.0,192.40102,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-10-01,25465.967,10.0,21509.586,18.000002,268.60345,104.0,191.81483,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-11-01,25393.176,10.0,21467.033,18.000002,269.78238,104.0,191.20584,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ashley,Trevino,9db2b902-9d17-45ff-b8a2-1d9261151b39,2024-12-01,25371.52,10.0,21424.084,18.000002,271.0164,104.0,190.56612,102.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-01-01,72634.12,10.0,11238.749,38.987415,216.45462,241.66449,183.14574,119.709885,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-02-01,72454.45,10.0,11249.796,39.46457,222.02008,240.52328,181.32538,122.98828,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-03-01,73491.19,10.0,11234.0,39.857315,229.18645,241.36049,179.95,124.82825,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-04-01,74323.57,10.0,11232.967,40.278625,235.7992,241.80254,178.61525,126.71809,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-05-01,75087.16,10.0,11234.54,40.672333,241.89876,242.10286,177.32368,128.44536,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-06-01,75796.945,10.0,11239.381,41.02838,247.40988,242.28786,176.12749,129.98514,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-07-01,76448.53,10.0,11247.256,41.356964,252.3717,242.36113,175.00926,131.35652,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-08-01,77051.35,10.0,11257.819,41.660976,256.84116,242.3368,173.96266,132.57056,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-09-01,77612.09,10.0,11270.729,41.943855,260.86545,242.22559,172.98332,133.63702,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-10-01,78136.69,10.0,11285.441,42.208122,264.4686,242.04263,172.06807,134.56493,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-11-01,78632.23,10.0,11301.595,42.456783,267.68237,241.79329,171.21083,135.36513,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Melanie,Shaw,64625c71-3754-4267-bfee-813506a95709,2024-12-01,79102.086,10.0,11318.937,42.69247,270.53946,241.48767,170.40915,136.04538,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-01-01,19735.371,113.73459,27206.86,18.750853,204.0,277.68628,152.16516,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-02-01,19475.484,10.0,27125.459,18.49372,204.0,277.53455,150.62535,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-03-01,19339.982,10.0,27021.08,18.618324,204.0,270.051,153.67316,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-04-01,19404.129,10.0,26896.938,18.625488,204.0,258.64438,158.96722,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-05-01,19502.006,10.0,26781.775,18.595171,204.0,248.05176,163.94008,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-06-01,19606.432,10.0,26674.387,18.571812,204.0,237.96913,168.83078,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-07-01,19716.516,10.0,26573.355,18.553434,204.0,228.23888,173.67804,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-08-01,19844.068,10.0,26479.938,18.536789,204.0,219.02745,178.46628,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-09-01,19983.6,10.0,26392.715,18.531887,204.0,210.39746,183.23236,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-10-01,20133.553,10.0,26311.367,18.539059,204.0,202.39178,187.95198,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-11-01,20282.383,10.0,26235.28,18.562902,204.0,195.1529,192.49933,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Margaret,Cooley,2f1c2c20-2ab8-45a7-a2a3-3a20731c3caf,2024-12-01,20432.729,10.0,26165.021,18.592953,204.0,188.64534,196.86235,100.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-01-01,62338.36,10.0,21566.666,17.0,419.5731,193.69331,174.54816,222.61998,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-02-01,52150.777,10.0,21855.36,17.0,424.79227,201.95523,167.42505,216.1622,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-03-01,46247.086,10.0,22122.715,17.0,437.76492,211.50864,164.73169,210.70691,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-04-01,41751.83,10.0,22261.742,17.0,453.83582,217.44325,163.77013,208.27542,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-05-01,38249.86,10.0,22431.154,17.0,467.06982,222.57596,162.74101,206.98631,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-06-01,35434.35,10.0,22606.37,17.0,479.40533,227.16357,161.70285,206.52803,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-07-01,33224.465,10.0,22787.012,17.0,491.51974,231.436,160.46092,206.15298,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-08-01,31477.4,10.0,22964.443,17.0,503.88547,235.36972,158.94319,205.91025,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-09-01,30073.936,10.0,23140.283,17.0,516.60175,239.06654,157.1844,205.8113,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-10-01,28926.406,10.0,23315.354,17.0,529.81274,242.60634,155.20474,205.8372,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-11-01,27993.59,10.0,23499.707,17.0,543.7511,246.12093,153.08495,205.72476,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Megan,Mack,46a7b250-9173-49c9-a6d5-7d26ba5b2a06,2024-12-01,27221.69,10.0,23694.832,17.0,558.6135,249.68033,150.82974,205.42516,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-01-01,19596.543,10.0,14599.0,15.860335,200.0,101.99999,158.25319,164.11191,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-02-01,19721.979,614.624,14599.0,14.889142,200.0,101.99999,160.95045,158.38516,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-03-01,19683.475,1210.6038,14599.0,14.761815,200.0,101.99999,161.39372,155.89658,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-04-01,19598.115,1550.223,14599.0,14.869043,200.0,101.99999,157.82602,153.48451,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-05-01,19579.887,1596.5221,14599.0,14.853352,200.0,101.99999,154.8231,151.40701,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-06-01,19557.752,1776.7477,14599.0,14.886763,200.0,101.99999,151.9724,149.6223,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-07-01,19557.578,1923.7158,14599.0,14.937102,200.0,101.99999,149.25739,148.09909,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-08-01,19581.375,2013.013,14599.0,14.985077,200.0,101.99999,146.72177,146.7689,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-09-01,19617.594,2114.4026,14599.0,15.040521,200.0,101.99999,144.33649,145.66089,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-10-01,19667.238,2200.7305,14599.0,15.09892,200.0,101.99999,142.1014,144.73955,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Ryan,Arnold,cfa51104-5b2a-4d95-a7ff-b1248306047e,2024-11-01,19728.414,2271.5625,14599.0,15.158624,200.0,101.99999,140.01059,143.98494,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
